total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.50204e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.464115,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.59876e-05,0,9.53674e-07,0,9.53674e-07,1,0,1,0,1,0,0,0,0,0,0.015,0.326005,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.50475e-05,0,9.53674e-07,0,9.53674e-07,5,1.90735e-06,5,0,5,0,0,2.14577e-06,4,24,0.015,0.16811,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
4.00543e-05,0,9.53674e-07,0,9.53674e-07,7,1.90735e-06,7,0,7,0,0,3.09944e-06,6,36,0.015,0.0437081,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
0.000132084,0.000109911,9.53674e-07,0.000108004,2.3365e-05,475,1.85966e-05,182,4.05312e-06,107,3.09944e-06,1,2.40803e-05,106,636,0.015,0.0437081,1,107,1,11872,106,1,0,106,0,0,1,1:106;
0.000138044,0.000109911,9.53674e-07,0.000108004,2.3365e-05,475,1.85966e-05,182,4.05312e-06,107,3.09944e-06,1,2.40803e-05,106,636,0.015,0.0437081,1,107,1,11872,106,1,0,106,0,0,1,1:100;
0.00391102,0.00385737,1.74046e-05,0.00381899,0.00205827,46584,0.000534296,8549,4.05312e-06,107,3.09944e-06,101,2.40803e-05,106,636,0.283589,0.0437081,1,0,1,11200,0,0,0,106,0,0,1,
0.00394011,0.00385737,1.74046e-05,0.00381899,0.00205827,46584,0.000534296,8549,4.05312e-06,107,3.09944e-06,101,2.40803e-05,106,636,0.283589,0.0437081,1,0,1,11200,0,0,0,106,0,0,1,
0.00400209,0.00385737,1.74046e-05,0.00381899,0.00205827,46584,0.000534296,8549,4.05312e-06,107,3.09944e-06,101,2.40803e-05,106,636,0.283589,0.0437081,1,0,1,11200,0,0,0,106,0,0,1,
