total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.40667e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.466346,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.59876e-05,0,9.53674e-07,0,0,1,9.53674e-07,1,0,1,0,0,0,0,0,0.015,0.3275,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.50475e-05,0,9.53674e-07,0,0,5,9.53674e-07,5,0,5,2.14577e-06,0,3.8147e-06,4,24,0.015,0.164038,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
4.1008e-05,0,9.53674e-07,0,0,7,9.53674e-07,7,0,7,3.09944e-06,0,3.8147e-06,6,36,0.015,0.0486538,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
0.000138998,0.000118971,9.53674e-07,0.000114918,2.07424e-05,472,1.90735e-05,216,6.19888e-06,124,7.39098e-06,1,2.74181e-05,123,738,0.015,0.0486538,1,124,1,13776,123,1,0,123,0,0,1,1:123;
0.000147104,0.000118971,9.53674e-07,0.000114918,2.07424e-05,472,1.90735e-05,216,6.19888e-06,124,7.39098e-06,1,2.74181e-05,123,738,0.015,0.0486538,1,124,1,13776,123,1,0,123,0,0,1,1:117;
0.026067,0.0258505,0.000141859,0.0256953,0.0150173,344502,0.00203967,34838,6.24657e-05,772,3.43323e-05,766,0.000228167,1162,10089,0.270385,0.0486538,1,0,33,85680,0,0,0,771,0,0,1,
0.026109,0.0258505,0.000141859,0.0256953,0.0150173,344502,0.00203967,34838,6.24657e-05,772,3.43323e-05,766,0.000228167,1162,10089,0.270385,0.0486538,1,0,33,85680,0,0,0,771,0,0,1,
0.0261981,0.0258505,0.000141859,0.0256953,0.0150173,344502,0.00203967,34838,6.24657e-05,772,3.43323e-05,766,0.000228167,1162,10089,0.270385,0.0486538,1,0,33,85680,0,0,0,771,0,0,1,
