total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.19209e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.21593e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.464115,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.59876e-05,0,1.19209e-06,0,0,1,9.53674e-07,1,0,1,0,0,0,0,0,0.015,0.330789,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.50475e-05,0,1.19209e-06,0,0,5,9.53674e-07,5,0,5,1.90735e-06,0,3.09944e-06,4,24,0.015,0.153756,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
4.1008e-05,0,1.19209e-06,0,0,6,1.90735e-06,6,0,6,1.90735e-06,0,3.09944e-06,5,30,0.015,0.153756,1,6,0,560,5,0,0,5,0,0,1,0:1;1:5;
4.50611e-05,0,1.19209e-06,0,0,7,1.90735e-06,7,0,7,1.90735e-06,0,3.09944e-06,6,36,0.015,0.0437081,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
0.000137091,0.000113964,1.19209e-06,0.000112057,2.67029e-05,472,1.71661e-05,176,5.00679e-06,107,6.19888e-06,1,1.69277e-05,106,636,0.015,0.0437081,1,107,1,11872,106,1,0,106,0,0,1,1:106;
0.000144005,0.000113964,1.19209e-06,0.000112057,2.67029e-05,472,1.71661e-05,176,5.00679e-06,107,6.19888e-06,1,1.69277e-05,106,636,0.015,0.0437081,1,107,1,11872,106,1,0,106,0,0,1,1:100;
0.0039351,0.00388122,1.5974e-05,0.00385857,0.00200009,46533,0.00058651,9894,5.00679e-06,107,6.19888e-06,101,1.69277e-05,106,636,0.274019,0.0437081,1,0,1,11200,0,0,0,106,0,0,1,
0.00395608,0.00388122,1.5974e-05,0.00385857,0.00200009,46533,0.00058651,9894,5.00679e-06,107,6.19888e-06,101,1.69277e-05,106,636,0.274019,0.0437081,1,0,1,11200,0,0,0,106,0,0,1,
0.00401306,0.00388122,1.5974e-05,0.00385857,0.00200009,46533,0.00058651,9894,5.00679e-06,107,6.19888e-06,101,1.69277e-05,106,636,0.274019,0.0437081,1,0,1,11200,0,0,0,106,0,0,1,
