total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.19209e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4689,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.59876e-05,0,9.53674e-07,0,0,1,0,1,0,1,0,0,0,0,0,0.015,0.340359,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.60012e-05,0,9.53674e-07,0,0,5,1.19209e-06,5,1.90735e-06,5,0,0,1.90735e-06,4,24,0.015,0.158541,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
4.19617e-05,0,9.53674e-07,0,0,7,1.19209e-06,7,1.90735e-06,7,0,0,2.86102e-06,6,36,0.015,0.0484928,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
4.69685e-05,0,9.53674e-07,0,0,8,1.19209e-06,8,1.90735e-06,8,0,0,2.86102e-06,7,42,0.015,0.0484928,1,8,0,784,7,0,0,7,0,0,1,0:1;1:7;
0.000192881,0.000169992,9.53674e-07,0.000167847,1.69277e-05,463,2.0504e-05,201,5.55515e-05,122,3.8147e-06,1,2.86102e-05,121,726,0.015,0.0484928,1,122,1,13552,121,1,0,121,0,0,1,1:121;
0.000201941,0.000169992,9.53674e-07,0.000167847,1.69277e-05,463,2.0504e-05,201,5.55515e-05,122,3.8147e-06,1,2.86102e-05,121,726,0.015,0.0484928,1,122,1,13552,121,1,0,121,0,0,1,1:115;
0.026614,0.0263577,0.000165701,0.0261533,0.0150158,338526,0.00208473,34909,0.000102997,777,3.0756e-05,771,0.000277996,1185,10302,0.278804,0.0484928,1,0,33,86240,0,0,0,776,0,0,1,
0.026654,0.0263577,0.000165701,0.0261533,0.0150158,338526,0.00208473,34909,0.000102997,777,3.0756e-05,771,0.000277996,1185,10302,0.278804,0.0484928,1,0,33,86240,0,0,0,776,0,0,1,
0.026746,0.0263577,0.000165701,0.0261533,0.0150158,338526,0.00208473,34909,0.000102997,777,3.0756e-05,771,0.000277996,1185,10302,0.278804,0.0484928,1,0,33,86240,0,0,0,776,0,0,1,
