total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.09673e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.464115,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.28882e-05,0,0,0,9.53674e-07,1,0,1,0,1,0,0,0,0,0,0.015,0.32122,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.29018e-05,0,0,0,9.53674e-07,5,1.90735e-06,5,0,5,0,0,5.00679e-06,4,24,0.015,0.158541,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
3.79086e-05,0,0,0,9.53674e-07,7,1.90735e-06,7,0,7,0,0,5.96046e-06,6,36,0.015,0.0437081,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
0.000123024,0.000106096,0,0.000102997,2.5034e-05,468,1.78814e-05,171,4.76837e-06,98,9.53674e-07,1,1.83582e-05,97,582,0.015,0.0437081,1,98,1,10864,97,1,0,97,0,0,1,1:97;
0.000130892,0.000106096,0,0.000102997,2.5034e-05,468,1.78814e-05,171,4.76837e-06,98,9.53674e-07,1,1.83582e-05,97,582,0.015,0.0437081,1,98,1,10864,97,1,0,97,0,0,1,1:91;
0.00356507,0.00351787,1.26362e-05,0.00348687,0.00193429,41981,0.000459909,7468,4.76837e-06,98,9.53674e-07,92,1.83582e-05,97,582,0.278804,0.0437081,1,0,1,10192,0,0,0,97,0,0,1,
0.00359702,0.00351787,1.26362e-05,0.00348687,0.00193429,41981,0.000459909,7468,4.76837e-06,98,9.53674e-07,92,1.83582e-05,97,582,0.278804,0.0437081,1,0,1,10192,0,0,0,97,0,0,1,
0.00369906,0.00351787,1.26362e-05,0.00348687,0.00193429,41981,0.000459909,7468,4.76837e-06,98,9.53674e-07,92,1.83582e-05,97,582,0.278804,0.0437081,1,0,1,10192,0,0,0,97,0,0,1,
