total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.09673e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.464115,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.09808e-05,0,9.53674e-07,0,0,1,9.53674e-07,1,0,1,0,0,0,0,0,0.015,0.340359,1,1,0,0,1,0,0,0,0,0,1,0:1;
2.81334e-05,0,9.53674e-07,0,0,2,9.53674e-07,2,1.19209e-06,2,0,0,1.90735e-06,1,6,0.015,0.340359,1,2,0,112,1,0,0,1,0,0,1,0:1;1:1;
3.50475e-05,0,9.53674e-07,0,0,5,9.53674e-07,5,2.14577e-06,5,0,0,3.09944e-06,4,24,0.015,0.163325,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
4.00543e-05,0,9.53674e-07,0,0,7,9.53674e-07,7,2.14577e-06,7,0,0,3.09944e-06,6,36,0.015,0.0437081,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
0.000127077,0.000110149,9.53674e-07,0.00010705,2.09808e-05,472,1.3113e-05,169,1.16825e-05,101,5.24521e-06,1,1.62125e-05,100,600,0.015,0.0437081,1,101,1,11200,100,1,0,100,0,0,1,1:100;
0.000149012,0.000110149,9.53674e-07,0.00010705,2.09808e-05,472,1.3113e-05,169,1.16825e-05,101,5.24521e-06,1,1.62125e-05,100,600,0.015,0.0437081,1,101,1,11200,100,1,0,100,0,0,1,1:94;
0.00360298,0.00352907,2.0504e-05,0.00350332,0.00189877,43774,0.000455856,8015,1.16825e-05,101,5.24521e-06,95,1.62125e-05,100,600,0.26445,0.0437081,1,0,1,10528,0,0,0,100,0,0,1,
0.00362396,0.00352907,2.0504e-05,0.00350332,0.00189877,43774,0.000455856,8015,1.16825e-05,101,5.24521e-06,95,1.62125e-05,100,600,0.26445,0.0437081,1,0,1,10528,0,0,0,100,0,0,1,
0.003685,0.00352907,2.0504e-05,0.00350332,0.00189877,43774,0.000455856,8015,1.16825e-05,101,5.24521e-06,95,1.62125e-05,100,600,0.26445,0.0437081,1,0,1,10528,0,0,0,100,0,0,1,
