Dataset: Congressional Voting Records
Algorithm,Rule Count,Rule Mining Time (s),Support,Confidence,Data Coverage,Zhang
bat,1104.0,2.93,0.06,0.5,1.0
gwo,463.0,3.48,0.02,0.61,0.98
sc,10.0,3.92,0.02,0.32,0.61
fss,162.0,4.51,0.02,0.33,1.0
fpgrowth,3437.0,5.35,0.17,0.89,1.0
hmine,3437.0,0.19,0.17,0.89,1.0
arm-ae,178.0,0.34,0.24,0.47,0.02
aerial_plus,100.0,2.33,0.31,0.93,1.0
