Dataset: Congressional Voting Records
Algorithm,Rule Count,Rule Mining Time (s),Support,Confidence,Data Coverage,Zhang
bat,880.0,2.72,0.03,0.46,1.0
gwo,554.0,3.45,0.01,0.52,1.0
sc,12.0,3.94,0.01,0.6,0.99
fss,200.0,4.81,0.01,0.35,1.0
fpgrowth,3437.0,5.5,0.17,0.89,1.0
hmine,3437.0,0.18,0.17,0.89,1.0
arm-ae,719.0,0.66,0.22,0.45,0.05
aerial_plus,388.0,0.53,0.28,0.91,0.79
