Dataset: Congressional Voting Records
Algorithm,Rule Count,Rule Mining Time (s),Support,Confidence,Data Coverage,Zhang
bat,983.0,2.85,0.06,0.36,1.0
gwo,362.0,3.31,0.01,0.48,1.0
sc,14.0,4.03,0.0,0.2,0.92
fss,238.0,4.37,0.01,0.39,1.0
fpgrowth,3437.0,5.26,0.17,0.89,1.0
hmine,3437.0,0.19,0.17,0.89,1.0
arm-ae,1306.0,1.07,0.22,0.46,0.07
aerial_plus,760.0,2.34,0.19,0.85,1.0
